virusUprot,humanUprot
Q9WMX2,P62328
Q9WMX2,P62879
Q9WMX2,P67870
Q9WMX2,P68104
Q9WMX2,P68371
Q9WMX2,P82094
Q9WMX2,P98095
Q9WMX2,Q02543
Q9WMX2,Q02818
Q9WMX2,Q03188
Q9WMX2,Q07666
Q9WMX2,Q08379
Q9WMX2,Q12805
Q9WMX2,Q13137
Q9WMX2,Q13164
Q9WMX2,Q13227
Q9WMX2,Q13435
Q9WMX2,Q13625
Q9WMX2,Q14112
Q9WMX2,Q14192
Q9WMX2,Q14764
Q9WMX2,Q14CM0
Q9WMX2,Q15052
Q9WMX2,Q15126
Q9WMX2,Q15276
Q9WMX2,Q15643
Q9WMX2,Q16548
Q9WMX2,Q16621
Q9WMX2,Q27J81
Q9WMX2,Q2M1P5
Q9WMX2,Q2VP98
Q9WMX2,Q3T8J9
Q9WMX2,Q494V2
Q9WMX2,Q49A26
Q9WMX2,Q58EX7
Q9WMX2,Q58WW2
Q9WMX2,Q5MIZ7
Q9WMX2,Q5QGS0
Q9WMX2,Q5T3F8
Q9WMX2,Q5VST9
Q9WMX2,Q5VU43
Q9WMX2,Q5VWN6
Q9WMX2,Q6NUQ1
Q9WMX2,Q6P1W5
Q9WMX2,Q6P2H3
Q9WMX2,Q6PIW4
Q9WMX2,Q6PKC3
Q9WMX2,Q6UB98
Q9WMX2,Q6ZS17
Q9WMX2,Q75N90
Q9WMX2,Q76N32
Q9WMX2,Q7L4P6
Q9WMX2,Q7Z4I7
Q9WMX2,Q7Z7M0
Q9WMX2,Q7Z7N9
Q9WMX2,Q86SQ7
Q9WMX2,Q86U42
Q9WMX2,Q86U70
Q9WMX2,Q86UC2
Q9WMX2,Q86UE6
Q9WMX2,Q86UT2
Q9WMX2,Q86UW7
Q9WMX2,Q86VK4
Q9WMX2,Q86VW0
Q9WMX2,Q8IUQ4
Q9WMX2,Q8IUX7
Q9WMX2,Q8IX21
Q9WMX2,Q8IXJ9
Q9WMX2,Q8IYH5
Q9WMX2,Q8IZ52
Q9WMX2,Q8N0Z3
Q9WMX2,Q8N1B4
Q9WMX2,Q8N1W1
Q9WMX2,Q8N2S1
Q9WMX2,Q8N2Y8
Q9WMX2,Q8N3Z6
Q9WMX2,Q8N6Y0
Q9WMX2,Q8N7W2
Q9WMX2,Q8N960
Q9WMX2,Q4LDE5
Q9WMX2,Q8NBZ0
Q9WMX2,Q8NF91
Q9WMX2,Q8NFF5
Q9WMX2,O15162
P26662,P37231
O39474,P20226
Q81776,P36941
B8Y460,O00571
Q6TZ09,P02647
B8Y460,P04637
B8Y460,D0PNI1
B8Y460,P31946
B8Y460,P61978
B8Y460,P36941
Q6UNT9,Q13625
B8Y460,P62258
Q9WMX2,Q8WUF5
Q9WMX2,Q9H8S9
Q9WMX2,Q9HAU4
Q9WMX2,Q9NRA8
Q9WMX2,Q9UJF2
Q9WMX2,Q9ULW6
Q9WMX2,Q8TBC4
Q9WMX2,Q8TD31
Q9WMX2,Q8TE76
Q9WMX2,Q8TEP8
Q9WMX2,Q8TES7
Q9WMX2,Q8WUF5
Q9WMX2,Q92782
Q9WMX2,Q92832
Q9WMX2,Q92932
Q9WMX2,Q96D15
Q9WMX2,Q96EK7
Q9WMX2,Q96EP0
Q9WMX2,Q96EY1
Q9WMX2,Q96GW7
Q9WMX2,Q96H12
Q9WMX2,Q96HC4
Q9WMX2,Q96JM7
Q9WMX2,Q96M27
Q9WMX2,Q96MT8
Q9WMX2,Q96N67
Q9WMX2,Q96NW7
Q9WMX2,Q96T21
Q9WMX2,Q99435
Q9WMX2,Q99447
Q9WMX2,Q9BQ16
Q9WMX2,Q9BQ52
Q9WMX2,Q9BR76
Q9WMX2,Q9BRK4
Q9WMX2,Q9BTY2
Q9WMX2,Q9BV73
Q9WMX2,Q13438
Q9WMX2,Q9BWF3
Q9WMX2,Q9BXP5
Q9WMX2,Q9BYW2
Q9WMX2,Q9C099
Q9WMX2,Q9GZN7
Q9WMX2,Q9H0D6
Q9WMX2,Q9H0F6
Q9WMX2,Q9H0Q3
Q9WMX2,Q9H2D6
Q9WMX2,Q9H4I2
Q9WMX2,Q9H7B4
Q9WMX2,Q9H869
Q9WMX2,Q9H8L6
Q9WMX2,Q9H8S9
Q9WMX2,Q9H9L4
Q9WMX2,Q9HAP2
Q9WMX2,Q9HAU4
Q9WMX2,Q9HBI0
Q9WMX2,Q9HCB6
Q9WMX2,Q9HCM3
Q9WMX2,Q9HCS7
Q9WMX2,Q9HCU4
Q9WMX2,Q9NP73
Q9WMX2,Q9NP80
Q9WMX2,Q9NRA8
Q9WMX2,Q9NRD5
Q9WMX2,Q9NRR5
Q9WMX2,Q9NSC5
Q9WMX2,Q9NUL5
Q9WMX2,Q9NVV9
Q9WMX2,Q9NXP7
Q9WMX2,Q9NY15
Q9WMX2,Q9P0K7
Q9WMX2,Q9P0V9
Q9WMX2,Q9P2D6
Q9WMX2,Q9P2E2
Q9WMX2,Q9P2E9
Q9WMX2,Q9UBD0
Q9WMX2,Q9UBK9
Q9WMX2,Q9UBU8
Q9WMX2,Q9UBW7
Q9WMX2,Q9UBX5
Q9WMX2,Q9UHF1
Q9WMX2,Q9UHL4
Q9WMX2,Q9UHV2
Q9WMX2,Q9UJF2
Q9WMX2,Q9UJX2
Q9WMX2,Q9UKK3
Q9WMX2,Q9ULU8
Q9WMX2,Q9ULW6
Q9WMX2,Q9UMS6
Q9WMX2,Q9UMX0
Q9WMX2,Q9UPU7
Q9WMX2,Q9Y219
Q9WMX2,Q9Y228
Q9WMX2,Q9Y2B5
Q9WMX2,Q9Y2D8
Q9WMX2,Q9Y2K1
Q9WMX2,Q9Y2X9
Q9WMX2,Q9Y3M2
Q9WMX2,Q9Y5V3
Q9WMX2,Q9Y6N6
Q81776,P36941
B8Y460,O00571
Q6TZ09,P02647
B8Y460,P61978
B8Y460,P36941
Q6UNT9,Q13625
B8Y460,P62258
O39474,P20226
Q68949,P02788
Q6TZ09,P02647
B8Y460,P04637
B8Y460,P04637
B8Y460,P61978
Q6UNT9,Q13625
B8Y460,P62258
Q68949,P02788
B8Y460,P04637
B8Y460,P36941
Q6TZ09,P02647
B8Y460,P04637
B8Y460,P61978
Q6UNT9,Q13625
O39474,P04637
Q6UNT9,Q09472
Q6UNT9,Q92793
P26663,Q8N257
Q8B6D3,P19438
P26663,P17612
P26663,B2R4R0
Q8JWL6,Q09472
P26663,P04553
Q8B6D3,P38936
P27958,Q7Z434
P27958,Q14164
P27958,Q9UHD2
Q9WMX2,A8K031
Q9WMX2,A8K3E0
Q9WMX2,Q53G26
Q9WMX2,Q53GC0
Q9WMX2,B4E273
Q9WMX2,A2VCK8
O39474,P04637
B8Y460,O15350
Q6UNT9,Q09472
Q8JWL6,Q09472
P26663,Q8N257
O39474,B0LPF3
Q9E3D8,P08631
P26660,B0LPF3
Q9E3D8,P06241
P27958,B0LPF3
P27958,B0LPF3
Q9WMX2,B0LPF3
O92972,B0LPF3
Q9E3D8,P07948
P27958,P60033
O39474,B0LPF3
P27958,P60033
P27958,B0LPF3
O92972,B0LPF3
B8Y460,O15350
P27958,Q7Z434
P27958,Q9UHD2
Q8JWL6,Q92793
P26662,D2KUA6
Q68113,O00571
Q68113,P61978
Q68123,O00571
Q68123,P61978
Q68124,O00571
Q68124,P61978
Q68139,O00571
Q68139,P61978
Q68149,O00571
Q68149,P61978
Q6QY91,O00571
Q6QY91,P61978
Q6QY92,O00571
Q6QY92,P61978
Q6QY99,O00571
Q6QY99,P61978
Q6QYA1,O00571
Q6QYA1,P61978
Q6QYA2,O00571
Q6QYA2,P61978
Q6QYA6,O00571
Q6QYA6,P61978
Q6QYA7,O00571
Q6QYA7,P61978
Q6QYB1,O00571
Q6QYB1,P61978
Q6QYB2,O00571
Q6QYB2,P61978
Q6QYB4,O00571
Q6QYB4,P61978
Q6QYB6,O00571
Q6QYB6,P61978
Q6QYB7,O00571
Q6QYB7,P61978
Q6QYB8,O00571
Q6QYB8,P61978
Q6QYB9,O00571
Q6QYB9,P61978
Q6QYC1,O00571
Q6QYC1,P61978
Q6QYC2,O00571
Q6QYC2,P61978
Q6QYC3,O00571
Q6QYC3,P61978
Q6QYE5,O00571
Q6QYE5,P61978
Q6QYE6,O00571
Q6QYE6,P61978
Q6QYE7,O00571
Q6QYE7,P61978
Q6QYE8,O00571
Q6QYE8,P61978
Q6QYE9,O00571
Q6QYE9,P61978
Q6QYF0,O00571
Q6QYF0,P61978
Q6QYF1,O00571
Q6QYF1,P61978
Q6QYF2,O00571
Q6QYF2,P61978
Q6QYF6,O00571
Q6QYF6,P61978
Q6QYF7,O00571
Q6QYF7,P61978
Q6QYF9,O00571
Q6QYF9,P61978
Q6QYG0,O00571
Q6QYG0,P61978
Q6QYG5,O00571
Q6QYG5,P61978
Q6QYJ7,O00571
Q6QYJ7,P61978
Q6QYJ9,O00571
Q6QYJ9,P61978
Q6QYK0,O00571
Q6QYK0,P61978
Q6QYK2,O00571
Q6QYK2,P61978
Q6QYK3,O00571
Q6QYK3,P61978
Q6QYK6,O00571
Q6QYK6,P61978
Q6QYK7,O00571
Q6QYK7,P61978
Q6QYK8,O00571
Q6QYK8,P61978
Q6QYK9,O00571
Q6QYK9,P61978
Q6QYL0,O00571
Q6QYL0,P61978
Q6QYL1,O00571
Q6QYL1,P61978
Q6QYL2,O00571
Q6QYL2,P61978
Q6QYL4,O00571
Q6QYL4,P61978
Q6QYL5,O00571
Q6QYL5,P61978
Q6QYM0,O00571
Q6QYM0,P61978
Q6QYN0,O00571
Q6QYN0,P61978
Q6QYQ9,O00571
Q6QYQ9,P61978
Q6QYR0,O00571
Q6QYR0,P61978
Q68113,P61978
Q68113,P04637
Q68123,P61978
Q68123,P04637
Q68124,P61978
Q68124,P04637
Q68139,P61978
Q68139,P04637
Q68149,P61978
Q68149,P04637
Q6QY91,P61978
Q6QY91,P04637
Q6QY92,P61978
Q6QY92,P04637
Q6QY99,P61978
Q6QY99,P04637
Q6QYA1,P61978
Q6QYA1,P04637
Q6QYA2,P61978
Q6QYA2,P04637
Q6QYA6,P61978
Q6QYA6,P04637
Q6QYA7,P61978
Q6QYA7,P04637
Q6QYB1,P61978
Q6QYB1,P04637
Q6QYB2,P61978
Q6QYB2,P04637
Q6QYB4,P61978
Q6QYB4,P04637
Q6QYB6,P61978
Q6QYB6,P04637
Q6QYB7,P61978
Q6QYB7,P04637
Q6QYB8,P61978
Q6QYB8,P04637
Q6QYB9,P61978
Q6QYB9,P04637
Q6QYC1,P61978
Q6QYC1,P04637
Q6QYC2,P61978
Q6QYC2,P04637
Q6QYC3,P61978
Q6QYC3,P04637
Q6QYE5,P61978
Q6QYE5,P04637
Q6QYE6,P61978
Q6QYE6,P04637
Q6QYE7,P61978
Q6QYE7,P04637
Q6QYE8,P61978
Q6QYE8,P04637
Q6QYE9,P61978
Q6QYE9,P04637
Q6QYF0,P61978
Q6QYF0,P04637
Q6QYF1,P61978
Q6QYF1,P04637
Q6QYF2,P61978
Q6QYF2,P04637
Q6QYF6,P61978
Q6QYF6,P04637
Q6QYF7,P61978
Q6QYF7,P04637
Q6QYF9,P61978
Q6QYF9,P04637
Q6QYG0,P61978
Q6QYG0,P04637
Q6QYG5,P61978
Q6QYG5,P04637
Q6QYJ7,P61978
Q6QYJ7,P04637
Q6QYJ9,P61978
Q6QYJ9,P04637
Q6QYK0,P61978
Q6QYK0,P04637
Q6QYK2,P61978
Q6QYK2,P04637
Q6QYK3,P61978
Q6QYK3,P04637
Q6QYK6,P61978
Q6QYK6,P04637
Q6QYK7,P61978
Q6QYK7,P04637
Q6QYK8,P61978
Q6QYK8,P04637
Q6QYK9,P61978
Q6QYK9,P04637
Q6QYL0,P61978
Q6QYL0,P04637
Q6QYL1,P61978
Q6QYL1,P04637
Q6QYL2,P61978
Q6QYL2,P04637
Q6QYL4,P61978
Q6QYL4,P04637
Q6QYL5,P61978
Q6QYL5,P04637
Q6QYM0,P61978
Q6QYM0,P04637
Q6QYN0,P61978
Q6QYN0,P04637
Q6QYQ9,P61978
Q6QYQ9,P04637
Q6QYR0,P61978
Q6QYR0,P04637
