,virusUprot,humanUprot
2961,P05777,P0C0S5
2962,P03427,P09651
2963,P15682,O60783
2964,P05780,P62829
2965,Q20MH0,P40227
2966,P15659,P29692
2967,P15682,Q16629
2968,P03430,Q99436
2969,P03470,Q9BTE7
2970,P03470,Q06830
2971,P03470,Q99460
2972,P05777,O00767
2973,P03454,P46781
2974,P05777,Q13838
2975,P15682,P33992
2976,P03454,Q32P28
2977,P15659,O75506
2978,P03454,P46777
2979,P15682,Q01130
2980,P05780,P16520
2981,P03430,P52597
2982,P15659,O75533
2983,P05780,P05388
2984,P05780,P30050
2985,P03470,Q9Y295
2986,P15659,P17980
2987,P03470,Q15428
2988,P15682,P09661
2989,P05777,P26373
2990,Q1K9H5,Q8TDD1
2994,P03466,Q12983
2996,P03508,Q12800
2997,P03433,P24928
2998,P05777,O14519
2999,P03470,O00159
3000,P15682,P49902
3001,P03470,P16403
3002,P05777,Q9NVJ2
3003,P03470,P49458
3004,P03454,P52597
3005,P05777,P62273
3006,P03454,Q9NWU2
3007,P05777,O00487
3008,P15682,P61247
3009,P03454,O60506
3010,P03454,Q9Y2W1
3011,P03470,P07951
3012,P03470,Q9BVI4
3013,P15682,P21796
3014,P03454,P13639
3015,P03470,P83731
3016,P03470,Q9UKD2
3017,P03470,Q8TDI0
3018,P03430,P08238
3019,Q82506,P61313
3020,P05780,Q15021
3021,P03470,P08579
3022,P15659,P05783
3023,P03430,Q8IY37
3024,P15682,P26038
3025,P15659,P46779
3026,P03470,P40926
3027,P05777,O43707
3028,P03427,P07437
3029,P15659,O95232
3030,P03427,P49368
3031,P15659,P13647
3032,P03454,P10809
3033,P05777,Q9Y265
3034,P03470,P61513
3035,P05780,Q8WX92
3036,P15682,Q15020
3037,P15682,Q07955
3038,P03427,P62191
3039,P03427,P31689
3040,P05780,O75643
3041,P15682,P84243
3042,P15682,P84103
3043,P03430,Q99460
3044,P03470,Q14157
3045,P15659,P35268
3046,P15682,Q5H9R7
3047,P05777,P62258
3048,P15682,Q07021
3049,P05780,Q02978
3050,P05780,Q9P2J5
3051,P15659,P60866
3052,P05777,Q02543
3053,Q20MH0,P62753
3054,P05777,P30050
3055,P15659,P35544
3056,P15682,Q9Y4F1
3057,P03470,P04844
3058,P03454,P11142
3059,P03430,P08708
3060,P05777,Q9UN86
3061,P03454,P62826
3062,P03466,O43719
3063,P15682,P43243
3064,P05777,Q99459
3065,P05780,Q9Y6E2
3066,P05777,Q9NYF8
3067,P05780,P33993
3068,P15682,Q9Y6M1
3069,P05777,Q99595
3070,Q82506,Q15424
3071,P15682,Q9Y5A9
3072,P03454,Q07954
3073,P05780,P17152
3074,P03470,P62910
3075,P05780,Q02338
3076,P03496,Q9UKK6
3077,P03427,Q13151
3078,P05780,Q8N6N3
3079,P05780,Q15366
3080,P03454,P68133
3081,P05780,Q9NRY5
3082,P05780,Q9Y6D5
3083,P03427,O00571
3084,P05777,Q14008
3085,P03430,P08865
3086,P15659,Q9BQE3
3087,Q20MH0,P62424
3088,Q82506,Q16629
3089,P15682,Q9UQ35
3090,P15682,P62888
3091,P03470,P43686
3092,P15682,P18754
3093,P05780,P08729
3094,Q82506,P52272
3095,P03470,P31943
3096,P05780,P46779
3097,P03427,P78527
3098,P05780,P52597
3099,P03430,Q12906
3100,P15682,P62899
3101,P15682,P17844
3102,P03470,P10412
3103,P05777,Q15149
3104,P15682,Q86YL7
3105,P03430,P23528
3106,P15659,P62851
3107,P03470,P19338
3108,P05777,P61313
3109,P05777,P08238
3110,P03470,O60841
3111,P15659,O14979
3112,P03470,P26196
3113,P15659,P23396
3114,P15682,P51116
3115,P05777,P11142
3116,P15659,Q15208
3117,P05780,P10809
3118,P05777,P35232
3119,P05777,Q13263
3120,P03454,P49902
3121,P05780,P62269
3122,P03470,Q14258
3123,P05780,P63151
3124,P03430,Q13243
3125,P03427,P62829
3126,P05777,Q9P2E9
3127,P15682,Q15365
3128,P05780,Q9BRX2
3129,P03454,Q96L21
3130,P05780,Q8IV08
3131,P03470,Q00341
3132,P03454,Q9UBS4
3133,P05780,P45880
3134,P15659,P14866
3135,P05780,Q96P70
3136,P05777,P42766
3137,P15659,Q01082
3138,P15682,Q9H0D6
3139,P03427,P46776
3140,Q82506,P40429
3141,Q20MH0,P10809
3142,P03470,Q01082
3143,P15682,Q9UHB7
3144,P15659,O14744
3145,P05780,O75688
3146,P15682,O75400
3147,P03470,Q14257
3148,P03470,P31040
3149,Q20MH0,P67809
3150,P05777,P63104
3151,P03427,P19338
3152,P03470,O95816
3153,P05777,P08865
3154,P03470,P38159
3156,P03470,P18124
3157,P03470,Q8N163
3158,P03454,P62906
3159,Q82506,P08708
3160,P05780,Q9GZQ8
3161,Q20MH0,Q8NC51
3162,P15659,P08670
3163,P03470,P14625
3164,P05777,Q15773
3165,P15659,Q15843
3166,P03427,P23458
3167,P03470,P12814
3168,P03427,P49137
3169,P03427,Q92552
3170,P03470,Q8NBS9
3171,P05777,Q9NZJ7
3172,P03470,Q09161
3173,Q82506,P26373
3174,P03430,P05388
3175,P05780,O00487
3176,P03470,P05121
3177,P03430,O95793
3178,P03430,Q8NE71
3179,P15682,O95758
3180,P15659,P46782
3181,P03470,Q9BXP5
3182,Q82506,Q01130
3183,P05777,P06748
3184,P03470,P52907
3185,P15682,P20290
3186,P03430,P09234
3187,P03430,P35659
3188,P05777,P14866
3189,P15659,Q9UL15
3190,P05780,P47974
3191,P05777,Q96SB4
3192,P05780,Q8TED1
3193,P03470,P51571
3194,P05777,P23396
3195,P03454,O75533
3196,P05777,Q96CW1
3197,P05777,Q92922
3198,P03430,P37108
3199,Q20MH0,P46821
3200,P03430,Q15427
3201,P15682,P20042
3202,P03427,P07305
3203,P15659,Q96AV8
3204,P03470,Q07020
3205,P03470,P37108
3206,P03430,P35998
3207,P03470,P05388
3208,P05777,P22626
3212,P03433,Q13315
3213,P03496,O95793
3214,P03466,P40692
3215,P03508,Q12933
3216,P15659,Q00839
3217,P15659,P23528
3218,P03470,Q9Y490
3219,P15682,Q96AG4
3220,P03470,P83881
3221,P15659,Q15008
3222,P05780,P51665
3223,P05780,Q92598
3224,P03470,P51114
3225,P05780,P62847
3226,P15682,Q9NYF8
3227,P05780,Q9BTE7
3228,P03454,P14618
3229,P03430,Q9Y5Q8
3230,P15682,P18621
3231,P03430,P42677
3232,P03454,P14866
3233,P03470,P30048
3234,P05780,Q9NYY8
3235,P03427,P11142
3236,P05780,P42224
3237,Q82506,P60866
3238,P03430,Q99459
3239,P05780,P30153
3240,P05780,O14732
3241,P03427,Q8N5Z5
3242,P03430,P61513
3243,P03427,Q9NR09
3244,P15682,P61978
3245,P05780,O15269
3246,P03427,P09012
3247,P03430,P52272
3248,P03430,A6NHR9
3249,P05780,O00410
3250,P05777,Q9BSB4
3251,P05780,P68366
3252,P05777,O75964
3253,P15682,P08579
3254,P15682,O76021
3255,P03427,Q2TB90
3256,P15682,O75643
3257,P05777,P52292
3258,P03430,P43243
3259,P03466,P52294
3260,P05777,P46821
3261,P03470,Q9P2J5
3262,P05777,P25789
3263,P03430,Q9H0D6
3264,P05780,Q99595
3265,P15682,P62841
3266,P03454,P61513
3267,P05780,Q15003
3268,P05780,P62851
3269,P15682,Q9BYJ9
3270,P15682,P07737
3271,P15682,Q9Y3Z3
3272,P05777,Q9Y3Z3
3273,P03454,O95232
3274,P03430,P62191
3276,P05777,Q2TAY7
3277,P05777,P63208
3278,P03454,P23588
3279,P05780,O60884
3280,P05777,P43243
3281,P05777,Q9BRK5
3282,P03470,O95373
3283,P05780,P18124
3284,P03470,Q3V6T2
3285,P03470,O75821
3286,P03454,P09382
3287,P05780,P35527
3288,P05777,P09012
3289,P05780,O95373
3290,P15682,P42285
3291,P05777,P61513
3292,P03470,Q08211
3293,P03454,P55072
3294,P03427,Q9UNM6
3295,P05780,O14787
3296,P03470,Q9UL46
3297,Q20MH0,P62917
3298,P05777,P49721
3299,P15682,P60866
3300,P03427,P46779
3301,P03430,P61353
3302,P15682,P02545
3303,P15659,P0C0S8
3304,P03470,P78371
3305,Q82506,P46779
3306,P15659,Q6P3W7
3307,P03427,Q13310
3308,P05777,Q99832
3309,Q20MH0,Q14315
3310,P05777,P32969
3311,P05777,Q15637
3312,P05780,Q99615
3313,P03454,P26368
3314,P15682,P52292
3315,P03454,P51572
3316,P05777,P23458
3317,P03427,P62906
3318,P05780,P18621
3319,P15659,Q16576
3320,P03430,P05141
3321,P03454,P18077
3322,P03470,P62273
3323,P05777,Q15370
3324,P05780,O96011
3325,P03454,Q07955
3326,P05780,P08195
3327,P03427,Q9ULX6
3328,P05777,P30153
3329,P03470,P02533
3330,P05777,P35544
3331,P03470,P05198
3332,P15682,Q01081
3333,P03454,P49327
3334,P15682,P05388
3335,P15682,Q9UQ80
3336,Q82506,P63173
3337,P03427,P0C0S8
3338,P03470,P60891
3339,P05780,P40616
3340,P05777,Q96EY1
3341,P15682,P05455
3342,P03454,P13645
3343,P03470,Q15185
3344,P03470,Q15181
3345,P15682,O60841
3346,P05777,Q99613
3347,P05777,Q96JJ7
3348,P05777,Q9NR30
3349,P15682,Q16630
3350,P03430,P55036
3351,P03470,Q08945
3352,P03427,P62899
3353,P03454,O15523
3354,P05777,Q9H078
3355,P03470,P62241
3356,P05777,Q9UMS4
3357,P15682,Q9P2E9
3358,P03427,Q09666
3359,Q82506,P62750
3360,Q82506,P62829
3361,P03470,Q99470
3362,P05777,P05783
3363,P15659,Q8TDF6
3364,P03470,P12236
3365,P05777,P35221
3366,Q82506,Q9Y3Y2
3367,P15682,P19525
3368,P15682,Q5T4B2
3369,P03430,Q9Y6N5
3370,P05780,Q9NVH0
3371,P03430,P16403
3372,P03470,P19525
3373,P03427,Q92522
3374,P03427,Q14681
3375,Q82506,Q86V81
3376,P05780,Q96Q05
3377,Q20MH0,P68371
3378,P03430,P24534
3379,P15682,P07814
3380,P03454,Q13347
3381,P05777,O43795
3382,P15682,Q07157
3383,P03427,P52597
3384,P03454,P15311
3385,P03430,P62847
3386,P15682,Q99460
3387,P15682,P46779
3388,P03470,P26006
3389,P03427,Q13263
3390,Q20MH0,P62750
3391,P03454,Q9NZ52
3392,P03470,P42766
3393,P05780,Q9BT40
3394,P15682,P30153
3395,P03470,Q9HAV0
3396,P03470,P60842
3397,P15682,P48444
3398,P15659,P62241
3399,P03470,P46783
3400,P15682,Q14974
3401,P03454,O43896
3402,Q82506,Q07666
3403,P03427,Q9Y6N5
3404,P03470,P53618
3405,P15682,P49137
3406,P03430,P62807
3407,P03470,P62888
3408,P05777,Q14204
3409,P03454,P62701
3410,P15659,P60709
3411,P03454,P22626
3412,P15682,O75534
3413,P03470,Q86V81
3414,P03430,P04264
3415,P15682,P62280
3416,P03470,P21291
3417,P03470,P68133
3418,P03470,Q13813
3420,P03508,O43889
3421,Q1K9H5,P17844
3424,P05777,Q13885
3425,P15682,P08727
3426,P03430,P62266
3427,P03470,Q9BZZ5
3428,P15682,Q9Y5S9
3429,P03470,P0C0S5
3430,P03427,P48643
3431,P05780,Q9Y4W6
3433,P03470,Q14566
3434,Q82506,P50914
3435,P03430,Q99733
3436,P15682,Q9BZE4
3437,P03454,P04264
3438,P05777,P31689
3439,P15659,P62807
3440,P03454,P62333
3441,P03470,P67809
3442,P03454,Q01484
3443,P05777,P62263
3444,P05780,Q8NBT2
3445,P05777,P04075
3446,P15682,Q92522
3447,P03470,Q16630
3448,P15682,P49207
3449,P05777,P04844
3450,P03470,Q5SWX8
3451,P03430,P02545
3452,Q20MH0,P82914
3453,P03470,Q6P3W7
3454,P03470,Q00325
3455,P03470,Q9Y4P3
3456,P03454,P12814
3457,P03427,P62910
3458,P03427,P14866
3459,P03470,P17980
3460,P05780,Q96AG4
3461,P03430,P51114
3462,P15682,P84090
3463,P15682,P63244
3464,P15682,O75494
3465,P03427,P62424
3466,P15659,Q00325
3467,P03430,P98175
3468,P03470,Q13347
3469,P05780,P53985
3470,P15682,Q15427
3471,P05777,Q9Y4F1
3472,P05780,P55060
3473,P03454,P07437
3474,P05777,P23284
3475,P05777,O95757
3476,P03430,Q7RTV0
3477,P05780,Q8N3E9
3478,P03427,P62280
3479,P03470,P62807
3480,P05780,O95716
3481,P03427,P51398
3482,P03454,O15013
3483,Q82506,P18124
3484,P03454,Q15149
3485,P03470,Q99733
3486,P03470,Q8NC51
3487,P05777,P09382
3488,P15682,Q08170
3489,Q20MH0,P17987
3490,P15682,Q16778
3491,P03470,Q9NVV4
3492,P05780,P63167
3493,P03427,P60842
3494,P15682,P51114
3495,P05777,P54652
3496,P05777,P51571
3497,P03470,P27105
3498,P05777,P36776
3499,P03430,Q13200
3500,P03470,P51991
3501,P03470,P11388
3502,P05777,P63244
3503,P05780,P55010
3504,P03427,P15880
3505,P05777,P11310
3506,P15682,P38919
3507,P03427,Q4G0N8
3508,P03470,O75643
3509,P03454,O00303
3510,P05777,O76071
3512,P15659,O43143
3513,P05777,Q9NQ29
3514,P03430,P32969
3515,P15659,P05387
3516,P05780,Q9Y5L0
3517,P05780,P52732
3518,P03427,P62805
3519,P05780,P21796
3520,P15682,Q14258
3521,P03470,P05787
3522,P05777,P62277
3523,P15659,Q9Y3Z3
3524,P03427,Q8NEE8
3525,P15682,Q86VP6
3526,P03430,P62829
3527,P05777,Q9Y262
3528,P05777,Q9HAV7
3529,P03470,P35908
3530,P15659,Q92620
3531,P03430,Q9UJY1
3532,P03427,P10644
3533,P05777,Q9Y383
3534,P03470,O15371
3535,P05780,Q15165
3536,P03454,P24534
3537,P03470,Q9P2R3
3538,P15682,P42704
3539,P03427,Q92574
3540,P15682,P62910
3541,P03427,P38159
3542,P05780,Q9Y6D6
3543,P03454,P46783
3544,P15659,Q9BVI4
3545,P05780,P04792
3546,P03454,P60660
3547,P03430,O95071
3548,P05777,O14949
3549,P03470,P54136
3550,P03430,Q9Y3D9
3551,P03470,P42704
3552,P05780,P07814
3553,P03470,P61254
3554,P03470,Q09666
3555,P03470,Q9H875
3556,P03430,O75533
3557,P03430,Q96I25
3558,P03470,O43795
3559,P03470,Q9H0D6
3560,P03470,O94776
3561,P05777,Q9HAV0
3562,P05777,P62750
3563,P03427,P08238
3564,P03427,Q06830
3565,P05777,P50990
3566,P03470,Q9Y3Z3
3567,P05777,P84077
3568,P03454,Q13263
3569,Q82506,P52732
3570,P05777,P62304
3571,P15682,P05387
3572,P03427,Q9UHB7
3573,P03470,O43242
3574,P03428,P07900
3575,Q1K9H5,P49848
3576,P03508,Q8N9N5
3578,Q1K9H5,P62913
3579,P03508,Q8N5I3
3581,P03466,Q13838
3583,P05780,O95905
3584,P03427,Q96D09
3585,P05780,Q5SRE5
3586,P03427,Q13885
3587,P03454,P10599
3588,P03470,P38646
3589,P03430,P78316
3590,P05777,O43390
3591,Q20MH0,P55209
3592,P03427,P46777
3593,P05780,P05556
3594,P15682,Q86V81
3595,P15682,Q9Y692
3596,P03427,Q14562
3597,P15682,Q9Y2W1
3598,P03427,Q02543
3599,P03430,Q15773
3600,Q82506,P21333
3601,P05780,O95757
3602,P03470,Q8N684
3604,P03454,P26641
3605,P05777,P40429
3606,P03454,Q13813
3607,P05777,Q16875
3608,P03454,P61978
3609,P05780,Q8TEQ6
3610,P15682,P61353
3611,P03430,Q13610
3612,P15659,Q9P035
3613,P03427,P49790
3614,P05777,P50395
3615,P03454,P83731
3616,P03427,P63173
3617,P03470,P30101
3618,P03470,P31948
3619,P03470,P52732
3620,P03454,P48556
3621,P15682,P14866
3622,P05780,Q9UBQ5
3623,P05780,P39023
3624,P03454,P23458
3625,P15682,P13647
3626,P05777,Q01813
3627,P05780,O75369
3628,P03470,Q00839
3629,P03427,P52732
3630,P03430,Q07666
3631,P15659,P61353
3632,P05780,Q9Y262
3633,P15682,Q09161
3634,P05777,P62195
3635,P15682,P35251
3636,P03430,P08621
3637,P15682,Q99623
3638,P03454,Q02543
3639,P15659,Q9UNE7
3640,P03470,P45880
3641,P03454,P05141
3642,P03430,P62081
3643,P03427,P40429
3644,P05780,Q9NZV1
3645,P15682,P62308
3646,P03427,Q13438
3647,P15659,Q13435
3648,P15659,Q99832
3649,Q20MH0,P62829
3650,P05777,P33992
3651,P05777,P06703
3652,P03454,Q1KMD3
3653,P05780,O60701
3654,P15659,Q8IWX8
3655,P05777,Q9Y4W6
3656,P03430,Q9BQA1
3657,P05777,P27708
3658,P15682,Q99613
3659,P03470,P82673
3660,P05780,P26447
3661,P03430,Q01082
3662,P03470,P67936
3663,Q20MH0,P39019
3664,P03430,Q15208
3665,P15682,P25705
3666,P05777,O60256
3667,P03427,Q8WWM7
3668,P15659,P17844
3669,P03427,Q99832
3670,P05777,Q14103
3671,P05780,P29033
3672,P05780,Q92973
3673,P05780,P19338
3674,P05777,P30048
3675,P03470,Q9BQE3
3676,P03427,Q02878
3677,P03430,O75643
3678,Q82506,P62266
3679,P15682,Q07065
3680,P03427,Q13445
3681,P05777,P27824
3682,P15682,P82650
3683,P03470,P61604
3684,P05780,Q12769
3685,Q82506,Q96RY5
3686,P15682,P23246
3687,P03470,Q00577
3688,P03470,Q92620
3689,P05777,P04264
3690,P03470,P26373
3691,P05777,Q9Y3I0
3692,Q82506,Q9UQ35
3693,Q20MH0,P61978
3694,P05777,Q9Y678
3695,P03470,Q9HCN8
3696,P05780,P62244
3697,P15682,P62269
3698,P03454,Q9UQ35
3699,P05777,P08574
3700,P05777,P35268
3701,P03454,Q99729
3702,P15682,Q14151
3703,P05777,P08708
3704,P05777,Q9UBQ5
3705,P03430,P63173
3706,P03427,Q9Y3D9
3708,P03470,Q15046
3709,P05780,P40855
3710,P05777,Q02878
3711,P05777,P13639
3712,P15682,P55884
3713,P03454,Q99880
3714,P05780,P39019
3715,P15682,O43707
3716,P15659,Q99613
3717,P15659,P57088
3718,P15659,P62263
3719,P03430,Q9Y3I0
3720,P05780,P50993
3721,P15682,P67809
3722,P05780,O75533
3723,P05777,P37108
3724,P03430,P26373
3725,P03430,O00231
3726,P05777,Q6P2Q9
3727,P05780,Q9NRN7
3728,P03427,P62888
3729,P03427,Q9NXV2
3730,P05777,P11177
3731,P15682,P62314
3732,P15682,Q12905
3733,P03427,O14744
3734,P05777,P21291
3735,P03430,O95817
3736,P03470,P21796
3737,P15682,P06733
3738,P03430,P68371
3739,P03427,P17980
3740,Q20MH0,P63151
3741,P03470,P63208
3742,P03430,Q86UE4
3743,P05777,P05386
3744,P05780,P15880
3745,P03427,P05141
3746,P05780,P48047
3747,P05777,P06576
3748,P03427,P32969
3749,P03470,P49902
3750,P03470,Q99459
3751,Q82506,P84098
3752,P15682,P36578
3753,P03430,Q9H0A0
3754,P03454,P17844
3755,Q20MH0,P31943
3756,P05780,Q12905
3757,P15659,P52597
3758,P05777,P22102
3759,P15682,P62854
3760,Q82506,P30050
3761,P05777,Q00839
3762,P15682,P40429
3763,P03427,P52272
3764,P05777,P12004
3765,P05780,P62750
3766,P15682,P27635
3767,P05780,Q9Y3Q3
3768,P15659,P62081
3769,P03430,P62750
3770,P05777,P01889
3772,P03428,P43356
3773,Q1K9H5,Q15038
3774,P03496,P19525
3775,P03508,Q99081
3778,P05777,Q71U36
3779,Q82506,P62263
3780,P15682,P30101
3781,P03470,Q01130
3782,P03427,P78362
3783,P05780,Q9NZ01
3784,P05780,Q9BQE3
3785,P03427,P04637
3786,P03470,Q99613
3787,P05777,P22090
3788,P05777,P62917
3789,P05777,Q92974
3790,P03430,Q3KQU3
3791,P03470,Q5BJE1
3792,P03470,P13639
3793,P15682,Q9P258
3794,P05780,P53618
3795,P15659,P04792
3796,P03470,Q01518
3797,P15682,Q9BYN8
3798,P05777,P48444
3799,P05777,O15269
3800,P03427,O75190
3801,P03454,P35544
3802,P03470,Q9BQ04
3803,P05777,P39019
3804,P15659,P07355
3805,P15659,Q92598
3806,P03430,P38159
3807,P03470,P49137
3808,P03470,Q92522
3809,P03470,P23588
3810,P05777,Q86UE4
3811,P05780,P78527
3812,P03427,P25786
3813,P05777,O60701
3814,P15659,P52732
3815,P03427,P11021
3816,P05777,Q13045
3817,P15659,O00303
3818,P03470,Q06323
3819,P05780,P23458
3820,P05780,O95299
3821,P03430,P38646
3822,P15659,Q15393
3823,P15682,P12814
3824,P03470,O94808
3825,P03454,P07355
3826,P03427,Q9UN86
3827,P15682,Q06830
3828,P03430,P62854
3829,P05777,P39023
3830,P03470,Q15029
3831,P03470,P68032
3832,P03454,O75531
3834,P03430,P46777
3835,P15682,P68104
3836,P03430,P82932
3837,P03470,P46379
3838,P03430,Q13813
3839,P15659,P62854
3840,P05780,Q9UNM6
3841,P03470,P25789
3842,P03470,Q9BSJ8
3843,P03470,O14744
3844,P05777,P62857
3845,P05780,Q6P3R8
3846,P05780,P49368
3847,P03470,P18077
3848,P15659,P19338
3849,P03427,P36542
3850,P05777,P60174
3851,P03427,P58107
3852,P15682,P52272
3853,P15659,Q9HCD5
3854,P05780,P16615
3855,P03430,P07910
3856,P03454,P18085
3857,P03430,P21333
3858,P03470,Q8TD20
3859,P03454,P06733
3860,P03470,P14678
3861,P05777,P11142
3862,P15659,P38159
3863,P03470,P08865
3864,P15682,P06730
3865,P03470,P84098
3866,P03427,Q07955
3867,P05777,P55060
3868,P03454,Q9NRN7
3869,P03454,Q99436
3870,P05777,Q9H773
3871,P15682,O43242
3872,Q20MH0,P07355
3873,P05777,O75475
3874,P05777,Q15366
3875,P03427,Q9BYJ9
3876,P15659,O15523
3877,P15682,P06748
3878,P05780,P55160
3879,P03430,O43143
3880,P05777,P0C0S8
3881,P15682,P62244
3882,P03427,Q99880
3883,P05780,Q9Y6N5
3884,P05780,Q9BZX2
3885,P15682,P18077
3886,P03454,Q9Y3U8
3887,P05777,P62280
3888,P03470,Q92945
3889,P03470,P63173
3891,P05777,P17844
3892,P03430,P11940
3893,P05777,Q14669
3894,P03430,Q15366
3895,P05777,Q05639
3896,P03470,P62854
3897,P03430,P62316
3898,P05777,Q14974
3899,P03470,P40939
3900,P05780,P61313
3901,P03427,P60468
3902,P15682,Q8WXA9
3905,P03470,P55072
3906,P03470,O95758
3907,P03470,Q05682
3908,P05777,Q99615
3910,P05780,Q13185
3911,P03470,Q14204
3912,P05777,Q92620
3913,P15682,Q15717
3914,P15682,P27797
3915,P15682,Q9NVI7
3916,P03427,Q92900
3917,P05780,Q9NPQ8
3918,P03470,P62841
3919,P03470,P14866
3920,P03470,P62913
3921,P05780,P50454
3922,P05780,Q9NR33
3923,P03430,P27635
3924,P05777,O75531
3925,P03470,Q92841
3926,P15682,Q12906
3927,P03454,Q15008
3928,Q82506,Q13247
3929,P03470,P54105
3931,P15682,Q4G0J3
3932,P15682,P60709
3933,P03470,P62318
3934,P03454,P14868
3935,P15682,Q14315
3936,P03454,P32969
3937,P03470,P62140
3938,P03427,Q93008
3939,P03430,P47914
3940,P05780,Q9NYH9
3941,P03470,O43809
3942,P03470,Q9H0A0
3944,P05777,Q14444
3945,P05777,P11166
3946,P15659,P62191
3947,P05780,Q02878
3948,P05777,Q5T4S7
3949,P15682,Q06787
3950,P03430,Q9BRS2
3951,P03454,Q6ZN66
3952,P15682,Q12849
3954,P15682,P82673
3955,P05780,Q9BPX3
3956,P03430,O15042
3957,P15682,P07951
3958,P03470,P05783
3959,Q20MH0,Q9Y3Z3
3961,P03428,P08238
3962,Q1K9H5,P29692
3964,P03508,P02511
3966,P03508,Q8NF50
3967,P03430,Q12905
3968,P03454,P13010
3969,Q20MH0,P50914
3970,P03430,Q1KMD3
3971,P03470,P02545
3972,P05777,Q96QF0
3973,P05777,P62829
3974,P15682,P62829
3975,Q82506,P51991
3976,P03430,Q03135
3977,P05780,P36542
3978,P05777,Q06210
3979,P05777,P35908
3980,P03430,Q9NQ29
3981,P03430,P82673
3982,P05777,Q9NRN7
3983,P15659,P62333
3984,P05777,P35613
3985,P15682,Q13347
3986,P03430,Q9UG63
3987,P05780,Q16576
3988,P15659,P43686
3989,P03470,P63261
3990,P05780,P68371
3991,P03427,Q96HS1
3992,P03470,P05386
3993,P05780,P42677
3994,P03454,P17096
3995,P03454,Q09666
3996,P03470,P22234
3997,P15659,P04350
3998,P05777,Q15029
3999,P03470,P06702
4000,P03454,Q9Y6Y0
4001,Q82506,Q8IY82
4002,P03454,P51571
4003,P05780,P62805
4004,Q82506,Q92841
4005,P05780,P60891
4006,P05777,Q9Y305
4007,P03427,P47914
4008,P03454,Q16643
4009,P15659,O00232
4010,P05777,P05023
4011,P15659,P39019
4012,P15682,P35544
4013,P03454,P68366
4014,P05780,Q7L1Q6
4015,P03470,P52597
4016,P03427,P23528
4017,P03470,Q14103
4018,P03454,Q9Y657
4019,P03470,Q13200
4021,P15682,Q15029
4022,P05777,P62906
4023,Q20MH0,P23396
4024,P05777,Q9Y5M8
4025,P03454,O00159
4026,P05777,Q9HC36
4027,Q82506,P62753
4028,P03470,Q9H2U1
4029,P05777,P62140
4030,P05780,Q14331
4031,P15682,Q8WWM7
4032,P03470,P52292
4033,Q82506,P29692
4034,P03470,O14979
4035,P05777,P61604
4037,P05780,Q9UI10
4038,P03454,P62841
4039,P03470,P62280
4040,P15682,P60891
4041,P03427,Q07666
4042,P05777,Q15208
4043,P15659,P46776
4044,P15682,O15042
4045,P05780,P26358
4046,P05780,P05023
4047,P05777,P35527
4048,P05780,P52292
4049,P15682,P29692
4050,P03470,P26599
4051,P03454,P62753
4052,P03427,O95816
4053,Q20MH0,P62851
4054,P03427,O15294
4055,P03454,P50991
4056,P15659,P84098
4057,P05780,P62241
4058,P05780,Q9UNS2
4059,P15682,O75533
4060,P05777,P34932
4061,P03470,P46777
4062,P05780,Q92564
4063,P03427,P05386
4064,P03470,Q15233
4065,Q82506,P39019
4066,P15682,P35268
4067,P05777,P62266
4068,P03427,Q13435
4069,P03430,P46776
4070,P03470,P62258
4071,P03430,A8K855
4072,Q82506,P61254
4073,P05777,P09874
4074,P05780,O14929
4075,P05777,P51970
4076,P03454,Q96AY3
4077,P15659,O60831
4078,P05780,P14625
4079,P05777,O43852
4080,P03430,P20700
4081,Q82506,P61978
4082,P03454,P84243
4083,P05780,P46783
4084,P03427,P35637
4085,P03454,P18621
4086,P03454,Q9UBM7
4087,P15682,Q96BS2
4088,P03427,Q86V81
4089,P03427,P07814
4090,P03470,P31949
4091,P05780,P38646
4092,P03454,Q13464
4093,P03427,Q9BUF5
4094,P05777,P43686
4095,P03427,P62753
4096,P03427,P35908
4097,P05777,Q02952
4098,P05777,P62081
4099,P05780,Q14669
4100,P03470,Q86UE4
4101,P03454,O60884
4102,P03470,P43487
4103,P03430,Q9UKN8
4104,P15682,P12236
4105,P03427,E9PAV3
4106,P03454,P78371
4107,P03454,P48643
4108,P15682,P12956
4109,P03430,P23396
4110,P05780,O43765
4111,P03470,P62851
4112,P03454,P60709
4113,P15682,Q8TF72
4114,P05780,P04350
4115,P15682,P04075
4116,P15682,O75475
4117,P03427,P22626
4118,P05780,P48444
4119,P03470,P05387
4120,P03470,P37802
4121,P05777,P50454
4122,P03427,Q9Y230
4123,P05777,Q969V3
4124,P05780,P62906
4125,P03430,Q8IYB3
4126,P03470,P35232
4127,P05780,Q69YU5
4128,P03470,P20930
4129,P05777,Q13724
4130,P05777,P42677
4131,P05777,P61247
4132,P15659,P18621
4133,P03430,Q9Y2W1
4134,P15682,Q08211
4135,P05780,P63173
4136,P05780,Q9HAV0
4137,P15682,P48643
4138,P03427,P18077
4139,P03470,P49755
4140,P05780,Q9H3U1
4141,P05780,Q15773
4142,P03454,Q15366
4143,P15659,P30050
4144,P15682,O43795
4145,P15682,Q49A26
4146,P15682,Q99733
4147,P15682,Q14694
4148,P03454,P62269
4149,P15659,Q9NXV2
4150,P15659,P31689
4151,P05777,Q9UQ80
4152,P03470,Q8IWS0
4153,P03427,P84077
