"Pathogen","Taxonomy ID","Uniprot ID","Pathogen Protein","Uniprot ID","Human Protein","Experimental Method","Pubmed ID"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","Q8WYJ6","SEPT1_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","P02511","CRYAB_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","O14641","DVL2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P06821","M2_I34A1 ","O14641","DVL2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","O14641","DVL2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03485","M1_I34A1 ","O14641","DVL2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P06821","M2_I34A1 ","Q92997","DVL3_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","Q92997","DVL3_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03485","M1_I34A1 ","Q92997","DVL3_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","Q92997","DVL3_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","Q06547","GABP1_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03433","PA_I34A1 ","O00505","IMA4_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03466","NCAP_I34A1 ","O00505","IMA4_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","O00505","IMA4_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03433","PA_I34A1 ","O14639","ABLM1_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03466","NCAP_I34A1 ","P43360","MAGA6_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","P43360","MAGA6_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03466","NCAP_I34A1 ","P43364","MAGAB_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","P43364","MAGAB_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","P43364","MAGAB_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","P50222","MEOX2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03433","PA_I34A1 ","P50222","MEOX2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03485","M1_I34A1 ","P50222","MEOX2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P06821","M2_I34A1 ","P50222","MEOX2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03468","NRAM_I34A1 ","P50222","MEOX2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","P50222","MEOX2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03466","NCAP_I34A1 ","Q13126","MTAP_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03433","PA_I34A1 ","O75489","NDUS3_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","Q16656","NRF1_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03433","PA_I34A1 ","Q13362","2A5G_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","P45984","MK09_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","P45984","MK09_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03433","PA_I34A1 ","Q99942","RNF5_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","Q8IUQ4","SIAH1_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","P23497","SP100_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03485","M1_I34A1 ","O95793","STAU1_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","O95793","STAU1_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","Q13190","STX5_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","O75410","TACC1_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","Q15633","TRBP2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","Q99081","HTF4_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","Q99081","HTF4_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","Q12800","TFCP2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03485","M1_I34A1 ","Q12800","TFCP2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P06821","M2_I34A1 ","Q12800","TFCP2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","Q12800","TFCP2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","Q13077","TRAF1_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03466","NCAP_I34A1 ","Q13077","TRAF1_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","Q12933","TRAF2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","Q15654","TRIP6_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","P63279","UBC9_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","P63279","UBC9_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03433","PA_I34A1 ","P10746","HEM4_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P06821","M2_I34A1 ","P24278","ZBT25_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03508","NEP_I34A1 ","Q13155","AIMP2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","Q9H2G9","GO45_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","O14503","BHE40_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","O14503","BHE40_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","O75569","PRKRA_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03485","M1_I34A1 ","O75569","PRKRA_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","Q8ND90","PNMA1_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03466","NCAP_I34A1 ","Q9Y5V3","MAGD1_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03466","NCAP_I34A1 ","P51116","FXR2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","P51116","FXR2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","P51116","FXR2_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03452","HEMA_I34A1 ","Q9Y5P4","C43BP_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03433","PA_I34A1 ","Q6IB77","GLYAT_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","O75608","LYPA1_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03468","NRAM_I34A1 ","O43889","CREB3_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03452","HEMA_I34A1 ","O43889","CREB3_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","O43889","CREB3_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","O75525","KHDR3_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","Q93062","RBPMS_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03428","PB2_I34A1 ","Q93062","RBPMS_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P06821","M2_I34A1 ","Q93062","RBPMS_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03485","M1_I34A1 ","Q96B26","EXOS8_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","Q9UKT9","IKZF3_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03431","RDRP_I34A1 ","Q9UL40","ZN346_HUMAN ","two hybrid","20064372"
"Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)","211044","P03496","NS1_I34A1 ","Q9UL40","ZN346_HUMAN ","two hybrid","20064372"
