virusUprot,humanUprot
P03496,P12036
P03496,Q9Y6M1
P03496,Q86U42
P03496,O00425
P03496,Q13151
P03496,O14979
P03496,Q12906
P03496,O75569
P03496,P63104
P03496,P05141
P03496,P51991
P03496,Q92569
P03496,P26599
P03496,P52597
P03496,P46782
P03496,Q8N163
P03496,P62805
P03496,P09651
P03496,Q99729
P03496,P22626
P03496,Q07666
P03496,Q9NZI8
P03496,P07437
P03496,Q15717
P03496,P55265
P03496,O43143
P03496,Q92900
P03496,P31942
P03496,Q9Y2I1
P03496,P16989
P03496,Q12905
P03496,O95793
P03496,P43243
P03496,P61981
P03496,O00459
P03496,Q5JVF3
P03496,P38159
P03496,O60506
P03496,P23396
P03496,P14866
P03496,P84090
P03496,Q13310
P03496,P31943
P03496,Q05639
P03496,Q15366
P03496,P12236
P03496,P42336
P03496,Q9UKM9
P03496,P27348
P03496,Q8WWM7
P03496,P62258
P03496,O14654
P03496,Q3BBV2
P03496,P61978
P03496,P67809
P03496,O43390
P03496,P27986
P03496,P11940
P03496,P07910
P03496,P42338
P03496,P46783
P03496,P05386
P03496,Q9BUJ2
P03496,P31946
P03496,P62847
P03496,Q9NNW5
P03496,Q08211
P03495,Q93077
P03495,Q5QNW6
P03495,P62805
P03495,P04908
P03495,Q16777
P03495,Q99880
P03495,Q99878
P03495,Q7L7L0
P03495,P62807
P03495,Q02539
P03495,P20671
P03495,O60814
P03495,Q99879
P03495,P0C0S8
P03495,Q6FI13
P03495,P57053
P03495,P58876
P03495,Q93079
P03495,Q9BTM1
P03495,P22492
P03495,Q96KK5
P03495,Q99877
P03496,Q9Y265
P03496,P60660
P03496,P23528
P03496,Q562R1
P03496,Q9Y230
P03496,P35580
P03496,Q92804
P03496,P35637
P03496,Q02539
P03496,P62269
P03496,Q32P51
P03496,P22492
P03496,P07900
P03496,Q9HAV0
P03496,P62879
P03496,P07195
P03496,P16520
P03496,P08238
P03496,Q3ZCQ8
P03496,P60174
P03496,P12277
P03496,Q8NHW5
P03496,P62873
P03496,P10809
P03496,P14174
P03496,P68366
P03496,P35579
P03496,O00159
P03496,P05388
P03496,P04075
P03496,Q15365
P03496,Q9GZV4
P03496,P62136
P03496,P08865
P03496,P46779
P03496,Q8N0Y7
P03496,P55795
P03496,P06748
P03496,P57721
P03496,P18669
P03496,P06454
P03496,P07737
P03496,P13639
P03496,P48643
P03496,P40926
P03496,P30041
P03496,P00558
P03496,P06733
P03496,P36873
P03496,P04406
P03496,P62937
P03496,P63241
P03496,P29966
P03496,P22234
P03496,Q6IS14
P03496,P62140
P03496,Q7Z406
P03496,P80723
P03496,O75369
P03496,P27797
P03496,P06576
P03496,P15259
P03496,P62306
Q9DLK6,P0CG47
Q9DLK6,P0CG47
Q9DLK6,P51784
Q9DLK6,Q6P2I0
P03496,O00459
P69277,P27986
P15659,P0CG47
P15659,P51784
P03427,P51784
Q1K9I7,Q14258
B2BUI7,Q14258
B4UPA8,P11142
B4URA9,Q14258
B4UPA8,P15311
B2BUF1,Q14258
I6TAG8,Q14258
I6TAG8,O00459
I6TAG8,Q14258
I6TAG8,Q9UL40
B4UPB3,Q8N661
B4UPB6,P45984
I6TAG8,P23497
B4UPB6,Q9UJC3
T2AAS6,P43364
P06827,Q53SE7
I6TAG8,O75525
B4UPB3,E9PAJ1
B4UPB6,Q8N6Y0
B4UPA8,Q92997
I6TAG8,Q8N448
I6TAG8,Q15633
I6TAG8,Q9H898
B4UPB6,P0C7W6
B4UPB6,O14503
T2AAS6,Q53SE7
I6TAG8,O75608
B4UPB6,Q9H2G9
B4UPA8,Q9H898
