gene,mut,BME0304,BME0390,BME0736,BME1013,BME1044,BME1111,BME1361,BME1482,BME1577,BME1658,CBU CirA,CBU0388,CBU CirB,CBU0794,CBU CirC,CBU1198,CBU1217,CBU1314,CBU CirD,CBU_CirE,ST AvrA,ST CigR,ST GtgE,ST PipB,ST SipD,ST SopD,ST SptP,ST SpvB,ST SseC,ST SseG,ST SseI,ST SseK1,ST SseK2,ST SseK3,ST SteA,ST SteB
RAD9,RAD9,-0.299758715,2.197805992,0.753669589,-1.086180182,-0.545981421,1.679655482,-2.577723938,-0.738191522,-2.330212452,0.625583544,-0.923070678,2.335359811,2.882818611,2.089607646,0.977724563,-0.617680733,-0.821306704,1.644287952,0.620815718,-1.204037483,2.584683207,0.166268641,-0.333963533,3.502528962,-2.205550827,0.498019791,1.155907502,-1.775074118,-1.525008708,-1.46122895,-0.271124136,-0.980422576,0.210328499,-0.135486875,-1.582636715,-0.82805345
MRPL39,MRPL39,-1.260426125,1.809278572,-1.343315739,-1.648467055,0.818355129,0.08112309,0.172697443,-0.539478281,1.18469731,-0.466935917,0.43279827,1.384947871,0.347629813,1.007569722,-0.148394459,-0.359723931,0.240130731,3.127229922,-1.331202123,-0.499508506,1.355980843,-3.14949273,0.877116011,0.793022309,0.287294543,2.505817731,1.155375026,-2.447005099,-1.546792469,0.559952567,-0.656138913,-0.115283357,1.184111126,0.965816555,0.599919755,-0.101588999
YPR153W,YPR153W,-0.005326927,1.445537238,-2.807178621,-2.414990011,-2.245733594,0.352715841,-1.22376686,-0.827349841,-1.680681885,0.746920202,3.213843662,-1.628598469,0.200676965,0.933161058,2.642146047,-1.343853891,-1.602892663,1.178877036,1.100635675,-0.708041747,1.9041748,0.478292237,0.662980191,-0.563586435,1.259959036,1.933733534,1.155143874,-0.350763974,-0.044229057,1.323884289,-1.816459417,-0.009493197,3.125109412,-0.91744374,-1.65904334,0.51200368
YDR431W,YDR431W,-3.260816842,0.061139833,-0.634841497,-0.284366765,-2.119378138,4.300291017,1.100363405,2.302626702,-1.348343452,0.883153313,1.672786883,-3.051028309,0.679083245,0.486278397,2.490153049,0.438797445,-1.278184643,0.149357666,1.591276638,1.439548722,2.019948996,-0.591139368,-0.829522533,-1.479085847,0.381988911,-0.894557638,1.154449874,0.186902974,3.214162736,0.442414226,-0.339030801,-1.031048166,-0.703143792,0.439751046,-0.735660665,0.250700926
LAS17,LAS17-14,2.845710173,2.177837952,2.746458438,0.810162329,1.13501923,0.213582409,1.241803388,-4.383815423,2.276195282,1.630632261,-2.164294249,-2.860506902,-0.810242462,-0.155874405,-1.139684767,-2.875461397,2.912926542,2.222581841,-2.076052848,-3.129989279,-3.063204365,-2.200838394,0.681405724,-0.01267639,0.517359894,2.600074743,1.153820226,-1.767416704,-4.082305937,-2.157126832,0.376616295,-2.916952454,5.3303163,1.222951874,1.026109543,-2.580949855
CYT1,CYT1,0.300354547,0.888083929,0.514800861,1.361733579,-1.018802068,0.115711816,-2.872928658,-0.949638892,-1.859326962,-0.213808733,0.801417784,-0.121657418,0.412795045,-0.409298173,-0.249003116,-1.002554994,0.85676662,2.057109588,0.668338277,-0.356785218,1.776894064,-1.367031198,-0.430794691,-0.025722901,-3.809133264,1.036629943,1.153801528,0.273495184,-0.003928266,1.493404215,-2.074368242,2.107958104,0.883650992,-1.838224821,-2.492481643,-0.281073999
ARF2,ARF2,-0.247859879,0.820727103,0.72174304,0.652527625,0.953330542,0.351877204,-1.380295605,1.04598563,0.30419677,-0.004466124,1.306505019,-0.375147084,1.261633796,-1.420565651,-0.730463613,-1.996934231,-1.646911211,-0.612298242,0.023749182,-0.852993895,0.957900161,-0.852192773,1.496125677,-3.515872854,1.326734359,-2.232206834,1.153742934,0.353779644,-1.137856772,-0.967401118,-2.588007434,0.754338371,5.762412958,-3.007934647,-3.034374288,0.555996288
AMN1,AMN1,-1.027803563,2.084679411,0.757965664,-0.517025281,-0.116382652,-0.639780401,-0.163987098,1.827943983,-1.498562552,1.497125712,-0.087565344,0.521275783,0.732202957,-2.131488541,0.529254399,0.366568641,-1.364964344,-1.732419053,0.593576071,1.424991896,-1.294784295,-1.132909016,-0.774229857,-1.219073327,-2.137169511,-0.585493286,1.153389086,-0.984008608,-0.566982332,0.228461848,-0.498067642,-1.824020669,1.721519186,-0.983026479,-1.083059223,0.032546771
RCM1,RCM1,0.797946715,-3.93511595,0.733996795,-0.708456446,0.576984359,0.881164123,0.724771805,1.707662457,0.195975191,-1.181123885,-0.110106216,-0.432502678,-0.725158552,-1.118015408,1.361956876,0.12072915,-0.190640734,-1.268356365,1.500367911,2.485536488,2.018556723,-1.871813363,0.317216697,1.138522197,0.301919081,1.18884761,1.153305443,-0.464081139,2.131197672,1.267475786,1.672655937,-1.628446256,0.387221114,-1.4521928,-1.165858784,1.248911388
PET20,PET20,-0.428053154,2.443972219,1.30804984,-0.357618733,0.527989098,1.485656803,-0.572812615,-1.467135083,0.230405477,-0.574652192,0.432398847,-1.248344847,0.437261287,0.079145433,-1.356933151,-0.303156782,0.377047569,1.277498055,0.701294671,-1.714675021,1.082869908,-0.235960182,-0.888139406,0.112067541,1.967590135,-1.053024775,1.152090431,1.074318318,-0.590618601,0.302764518,-1.976530736,-0.220561761,-0.110212588,-0.312305294,-1.585640378,0.443409727
FIG2,FIG2,-0.253873777,-1.314280646,-1.003879945,0.395590089,-2.505501443,-0.981530784,-3.164376487,3.958909491,-1.587186219,0.175202501,0.489286932,0.8935012,-1.400680288,-0.777347288,0.676692241,2.696220047,-0.326681322,-0.191831936,1.504265043,2.787887113,1.107191445,-1.019979066,1.208806614,-1.260922314,0.60821253,1.188746045,1.149541395,-1.118457726,2.031887264,3.26394284,-1.21883563,0.65035143,-0.724283959,-1.805144232,-1.995068151,3.74307956
PDE1,PDE1,-0.36478322,0.90034079,0.313898652,-1.779007252,0.134935259,-1.503709898,-1.780342533,-0.475999108,-0.020123027,-1.410546149,2.37708434,-0.05809085,1.537505378,0.875884515,0.806082802,0.781713525,1.394751332,1.358204375,1.326423232,-0.243907363,-0.098158504,-0.849982208,-2.534691926,1.227684969,1.157434568,-1.217554148,1.149516034,-0.194420805,1.872978106,0.947107983,-1.326441618,1.71745289,-1.017851284,-0.474839486,0.892221974,1.793402214
CDC11,CDC11-4,0.981088859,-0.014185546,2.054749494,2.188237813,0.93830425,-5.11467027,1.590321391,-0.316407083,2.784524068,0.224111817,-2.282519623,-3.044914246,-1.526803361,-0.452258533,-2.812073984,1.714507438,0.393408754,-0.179842175,0.559049116,0.784052699,-1.569785815,0.653850612,0.960889574,-1.941371528,0.868669303,-1.051029771,1.14944492,2.044812589,0.472415387,-1.955146098,1.286957036,0.653559383,-1.205393413,1.708519875,0.789624238,-1.202452984
YPL114W,YPL114W,0.920731194,0.780402234,0.207500781,0.599877201,-1.297590518,-0.819227442,2.025473811,1.317688661,-1.959187864,0.693327743,1.038356365,0.376799739,-0.868387321,-0.497282148,-0.323716872,-0.756078362,0.286870789,-0.051857629,0.288618987,2.196692607,-0.028835701,-2.698529893,-0.793244795,2.777987124,-1.326782347,0.878673993,1.14767157,0.923335073,0.223627371,-1.013429912,-0.326114201,-1.770288376,1.0592035,-0.215377252,-0.330118041,0.998981984
VMS1,VMS1,1.582582045,-0.524488991,-3.291569871,-0.27140302,0.084111164,-3.084597569,-2.97831029,1.482260641,0.449181602,0.026709275,0.847514741,-0.132072937,-1.618626586,0.749988417,0.709123579,-0.466921497,0.458672513,2.157636869,0.470190867,-0.616972195,-1.36711437,0.195621022,-0.440849064,-0.013798719,-1.694602728,1.595677387,1.147247453,0.586873011,-0.30850241,0.813738213,-1.229091746,0.758789702,0.514004639,-1.572078998,0.734504921,-1.033860415
AIM9,AIM9,0.384146685,-0.714186747,-1.093135035,-0.778972228,0.230567502,2.208990585,-0.450643093,0.296943788,-0.450263546,-1.923016329,-0.706807313,0.818573819,-0.115145991,0.661873459,0.344490444,-1.356159727,2.15652473,0.630531362,0.683914032,0.293624703,0.411533553,-0.60490656,-1.035008172,0.26761874,0.256316697,0.945365205,1.145521366,-0.628667034,1.248461911,0.837280757,1.769858969,0.925967359,-1.06027455,0.699141092,1.729387333,-0.677180387
